Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
65,Adam Kennedy*,24,ANA,AL,0.6,156,641,598,82,159,33,11,9,72,22,8,28,73,0.266,0.3,0.403,0.703,75,0.309,64,241,10,3,8,4,5,*4/H,ROY-6,kennead01
66,Marquis Grissom,33,MIL,NL,-0.8,146,640,595,67,145,18,2,14,62,20,10,39,99,0.244,0.288,0.351,0.64,63,0.306,68,209,9,0,2,4,2,*8/H,,grissma02
67,Kenny Lofton*,33,CLE,AL,3.4,137,640,543,107,151,23,5,15,73,30,7,79,72,0.278,0.369,0.422,0.791,100,0.365,101,229,11,4,6,8,3,*8/DH,,loftoke01
68,Eric Owens,29,SDP,NL,1.6,145,636,583,87,171,19,7,6,51,29,14,45,63,0.293,0.346,0.381,0.727,90,0.338,96,222,16,4,0,4,4,*978/H4,,owenser01
69,Dante Bichette,36,2TM,2LG,0.8,155,636,575,80,169,32,2,23,90,5,2,49,91,0.294,0.35,0.477,0.826,105,0.364,102,274,21,4,1,7,3,*9D/H,,bicheda01
69,Dante Bichette,36,CIN,NL,0.5,125,514,461,67,136,27,2,16,76,5,2,41,69,0.295,0.353,0.466,0.819,103,0.362,101,215,18,4,1,7,3,*9/H,,bicheda01
69,Dante Bichette,36,BOS,AL,0.3,30,122,114,13,33,5,0,7,14,0,0,8,22,0.289,0.336,0.518,0.854,110,0.373,108,59,3,0,0,0,0,D/H,,bicheda01
70,David Segui#,33,2TM,AL,2.5,150,634,574,93,192,42,1,19,103,0,1,53,84,0.334,0.388,0.51,0.898,125,0.396,126,293,20,1,0,6,2,3D/9H,,seguida01
70,David Segui#,33,TEX,AL,1.6,93,389,351,52,118,29,1,11,57,0,1,34,51,0.336,0.391,0.519,0.909,128,0.399,129,182,12,0,0,4,1,D3/H,,seguida01
70,David Segui#,33,CLE,AL,1,57,245,223,41,74,13,0,8,46,0,0,19,33,0.332,0.384,0.498,0.881,121,0.391,122,111,8,1,0,2,1,3D/9H,,seguida01
