Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards,Player-additional
392,Jack Lohrke,26,NYG,NL,-0.3,30,47,43,4,8,0,0,0,4,0,0,4,8,0.186,0.255,0.186,0.441,18,0.215,12,8,1,0,0,0,5H/4,,lohrkja01
393,Vic Lombardi*,27,PIT,NL,0.1,42,18,16,1,4,1,0,0,0,0,0,1,1,0.25,0.294,0.313,0.607,58,0.282,53,5,0,0,1,0,1/H,,lombavi01
394,Eddie Lopat*,32,NYY,AL,1.1,36,104,82,14,19,2,3,0,7,0,0,17,9,0.232,0.364,0.329,0.693,81,0.339,86,27,0,0,5,0,1/H,MVP-28,lopated01
395,Bill Macdonald,21,PIT,NL,-0.3,32,54,49,3,6,1,0,0,1,0,0,4,18,0.122,0.189,0.143,0.332,-12,0.156,-33,7,1,0,1,0,1,,macdobi01
396,Dave Madison,29,NYY,AL,0,1,1,0,1,0,0,0,0,0,0,0,1,0,,1,,,,0.755,354,0,0,0,0,0,/1,,madisda01
397,Sal Maglie,33,NYG,NL,-0.3,47,73,66,3,8,2,1,0,3,1,1,3,26,0.121,0.171,0.182,0.353,-7,0.152,-33,12,1,1,3,0,1,MVP-10,maglisa01
398,Jack Maguire,25,NYG,NL,-0.4,29,46,40,3,7,2,0,0,3,0,0,3,13,0.175,0.233,0.225,0.458,20,0.208,1,9,2,0,2,0,H/973,,maguija01
399,Woody Main,28,PIT,NL,0.1,12,5,5,0,2,0,0,0,2,0,0,0,2,0.4,0.4,0.4,0.8,109,0.352,103,2,0,0,0,0,1,,mainwo01
400,Mal Mallette*,28,BRO,NL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,mallema01
401,Eddie Malone,30,CHW,AL,-0.4,31,81,71,2,16,2,0,0,10,0,0,10,8,0.225,0.321,0.254,0.575,50,0.289,54,18,7,0,0,0,2H,,maloned01
402,Dick Manville,23,BSN,NL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,manvidi01
403,Phil Marchildon,36,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,/1,,marchph01
404,Gene Markland,30,PHA,AL,0,5,13,8,2,1,0,0,0,0,0,0,3,0,0.125,0.364,0.125,0.489,30,0.296,50,1,0,0,2,0,/4,,marklge01
405,Connie Marrero,39,WSH,AL,-0.2,27,61,49,4,6,1,0,0,3,0,0,7,12,0.122,0.232,0.143,0.375,0,0.197,-13,7,1,0,5,0,1,,marreco01
406,Cuddles Marshall,25,SLB,AL,0.1,28,12,12,2,4,0,0,0,0,0,0,0,5,0.333,0.333,0.333,0.667,68,0.3,54,4,0,0,0,0,1,,marshcu01
