Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Pos,Awards,Player-additional
1,Ralph Kiner,27,PIT,NL,5.2,150,672,547,112,149,21,6,47,118,2,3,122,79,0.272,0.408,0.59,0.998,156,0.425,156,323,22,3,0,19,*7,ASMVP-5,kinerra01
2,Al Rosen,26,CLE,AL,5.9,155,668,554,100,159,23,4,37,116,5,7,100,72,0.287,0.405,0.543,0.948,145,0.423,146,301,27,10,4,3,*5/H,MVP-17,rosenal01
3,Andy Pafko,29,CHC,NL,6.4,146,595,514,95,156,24,8,36,92,4,8,69,32,0.304,0.397,0.591,0.989,157,0.424,162,304,9,11,1,8,*89/H,ASMVP-12,pafkoan01
4,Walt Dropo,27,BOS,AL,2.6,136,609,559,101,180,28,8,34,144,0,0,45,75,0.322,0.378,0.583,0.961,134,0.426,132,326,16,5,0,3,*3/H,ASMVP-6ROY-1,dropowa01
5,Joe DiMaggio,35,NYY,AL,5.2,139,606,525,114,158,33,10,32,122,0,0,80,33,0.301,0.394,0.585,0.979,151,0.436,151,307,14,1,0,5,*8/3H,ASMVP-9,dimagjo01
6,Gil Hodges,26,BRO,NL,3.4,153,646,561,98,159,26,2,32,113,6,4,73,73,0.283,0.367,0.508,0.875,125,0.381,125,285,14,1,11,12,*3,ASMVP-8,hodgegi01
7,Hank Sauer,33,CHC,NL,2.5,145,603,540,85,148,32,2,32,103,1,2,60,67,0.274,0.35,0.519,0.868,126,0.379,128,280,15,3,0,3,*73/H,ASMVP-29,sauerha01
8,Roy Campanella,28,BRO,NL,4.8,126,494,437,70,123,19,3,31,89,1,1,55,51,0.281,0.364,0.551,0.916,134,0.391,132,241,17,2,0,15,*2/H,ASMVP-13,camparo01
9,Del Ennis,25,PHI,NL,4.7,153,655,595,92,185,34,8,31,126,2,1,56,59,0.311,0.372,0.551,0.923,141,0.398,141,328,25,2,1,16,*97/H8,MVP-4,ennisde01
10,Duke Snider*,23,BRO,NL,5.6,152,684,620,109,199,31,10,31,107,16,15,58,79,0.321,0.379,0.553,0.932,139,0.401,142,343,9,0,6,5,*8/H,ASMVP-9,snidedu01
11,Vern Stephens,29,BOS,AL,3.7,149,693,628,125,185,34,6,30,144,1,0,65,43,0.295,0.361,0.511,0.872,113,0.395,111,321,21,0,0,2,*6/H,ASMVP-24,stephve01
12,Gus Zernial,27,CHW,AL,1.3,143,584,543,75,152,16,4,29,93,0,2,38,110,0.28,0.33,0.484,0.815,109,0.359,101,263,16,3,0,5,*7/H,,zernigu01
13,Yogi Berra*,25,NYY,AL,6.1,151,656,597,116,192,30,6,28,124,4,2,55,12,0.322,0.383,0.533,0.915,135,0.416,138,318,11,4,0,3,*2/H,ASMVP-3,berrayo01
14,Luke Easter*,34,CLE,AL,3.1,141,623,540,96,151,20,4,28,107,0,3,70,95,0.28,0.373,0.487,0.86,122,0.387,121,263,15,10,3,2,*39/H,,eastelu01
15,Stan Musial*,29,STL,NL,7.2,146,645,555,105,192,41,7,28,109,5,1,87,36,0.346,0.437,0.596,1.034,165,0.452,171,331,11,3,0,13,3789/H,ASMVP-2,musiast01
16,Ted Williams*,31,BOS,AL,3.9,89,416,334,82,106,24,1,28,97,3,0,82,21,0.317,0.452,0.647,1.099,168,0.489,172,216,12,0,0,2,7/H,ASMVP-21,willite01
17,Bobby Doerr,32,BOS,AL,3.6,149,663,586,103,172,29,11,27,120,3,4,67,42,0.294,0.367,0.519,0.886,116,0.397,114,304,21,1,9,4,*4,ASMVP-16,doerrbo01
18,Sid Gordon,32,BSN,NL,6.3,134,562,481,78,146,33,4,27,103,2,0,78,31,0.304,0.403,0.557,0.96,156,0.421,160,268,14,2,1,9,*75/H,MVP-22,gordosi01
19,Vic Wertz*,25,DET,AL,4.3,149,657,559,99,172,37,4,27,123,0,1,91,55,0.308,0.408,0.533,0.941,136,0.424,138,298,13,4,3,8,*9/H,MVP-10,wertzvi01
20,Larry Doby*,26,CLE,AL,6.7,142,609,503,110,164,25,5,25,102,8,6,98,71,0.326,0.442,0.545,0.986,156,0.446,160,274,9,6,2,3,*8/H,ASMVP-8,dobyla01
21,Willie Jones,24,PHI,NL,3.8,157,678,610,100,163,28,6,25,88,5,1,61,40,0.267,0.337,0.456,0.793,108,0.356,111,278,15,3,4,2,*5,ASMVP-36,joneswi01
22,Ted Kluszewski*,25,CIN,NL,2.6,134,572,538,76,165,37,0,25,111,3,1,33,28,0.307,0.348,0.515,0.863,124,0.376,123,277,20,1,0,13,*3/H,MVP-18,kluszte01
23,Johnny Mize*,37,NYY,AL,2.1,90,305,274,43,76,12,0,25,72,0,1,29,24,0.277,0.351,0.595,0.946,142,0.415,138,163,4,2,0,1,3H,MVP-17,mizejo01
24,Bobby Thomson,26,NYG,NL,3,149,627,563,79,142,22,7,25,85,3,5,55,45,0.252,0.324,0.449,0.774,100,0.342,101,253,14,5,2,4,*8/H,,thomsbo01
25,Bob Elliott,33,BSN,NL,4.6,142,602,531,94,162,28,5,24,107,2,2,68,67,0.305,0.386,0.512,0.898,140,0.395,143,272,18,2,1,6,*5/H,MVP-24,elliobo01
26,Andy Seminick,29,PHI,NL,4.3,130,468,393,55,113,15,3,24,68,0,0,68,50,0.288,0.4,0.524,0.925,143,0.403,145,206,12,6,0,12,*2/H,MVP-14,seminan01
27,Wally Westlake,29,PIT,NL,2.8,139,534,477,69,136,15,6,24,95,1,7,48,78,0.285,0.359,0.493,0.852,119,0.367,119,235,15,7,2,5,*89H/7,,westlwa01
28,Sam Chapman,34,PHA,AL,1.5,144,627,553,93,139,20,6,23,95,3,3,68,79,0.251,0.338,0.434,0.772,98,0.352,96,240,14,4,2,1,*8/H,,chapmsa01
29,Earl Torgeson*,26,BSN,NL,5.9,156,707,576,120,167,30,3,23,87,15,9,119,69,0.29,0.412,0.472,0.885,138,0.395,144,272,10,1,8,9,*3/H,MVP-27,torgeea01
30,Wes Westrum,27,NYG,NL,4.3,140,532,437,68,103,13,3,23,71,2,2,92,73,0.236,0.371,0.437,0.808,111,0.364,115,191,14,2,1,2,*2/H,MVP-32,westrwe01
31,Don Lenhardt,27,SLB,AL,1.7,139,579,480,75,131,22,6,22,81,3,2,90,94,0.273,0.39,0.481,0.871,118,0.397,118,231,7,2,7,1,37H5,,lenhado01
32,Hoot Evers,29,DET,AL,4.7,143,610,526,100,170,35,11,21,103,5,9,71,40,0.323,0.408,0.551,0.959,141,0.428,144,290,17,4,9,1,*7/H8,ASMVP-11,eversho01
33,Roy Smalley,24,CHC,NL,1.3,154,617,557,58,128,21,9,21,85,2,3,49,114,0.23,0.297,0.413,0.71,85,0.31,80,230,11,4,6,4,*6,,smallro01
34,Eddie Robinson*,29,2TM,AL,2.5,155,647,553,83,163,15,4,21,86,0,0,85,32,0.295,0.395,0.45,0.846,119,0.395,125,249,10,7,2,3,*3,,robined01
34,Eddie Robinson*,29,WSH,AL,0.1,36,156,129,21,30,4,2,1,13,0,0,25,4,0.233,0.365,0.318,0.683,80,0.341,90,41,3,2,0,0,3,,robined01
34,Eddie Robinson*,29,CHW,AL,2.3,119,491,424,62,133,11,2,20,73,0,0,60,28,0.314,0.405,0.491,0.895,131,0.413,136,208,7,5,2,3,*3,,robined01
35,Hank Thompson*,24,NYG,NL,5.1,148,604,512,82,148,17,6,20,91,8,7,83,60,0.289,0.391,0.463,0.854,123,0.382,128,237,10,3,6,3,*59/H8,MVP-33,thompha02
36,Joe Gordon,35,CLE,AL,2,119,429,368,59,87,12,1,19,57,4,1,56,44,0.236,0.34,0.429,0.77,99,0.355,98,158,10,2,3,3,*4H,,gordojo01
37,Carl Furillo,28,BRO,NL,2.2,153,669,620,99,189,30,6,18,106,8,3,41,40,0.305,0.353,0.46,0.813,109,0.364,111,285,19,5,3,5,*9,MVP-30,furilca01
38,Sam Jethroe#,33,BSN,NL,3.2,141,642,582,100,159,28,8,18,58,35,9,52,93,0.273,0.338,0.442,0.78,109,0.354,109,257,8,5,3,1,*8,MVP-27ROY-1,jethrsa01
39,Eddie Joost,34,PHA,AL,1.8,131,592,476,79,111,12,3,18,58,5,1,103,68,0.233,0.373,0.384,0.757,96,0.362,100,183,11,3,10,1,*6,,joosted01
40,Dick Kokos*,22,SLB,AL,1.7,143,582,490,77,128,27,5,18,67,8,8,88,73,0.261,0.375,0.447,0.822,106,0.374,106,219,10,1,3,3,*79H,,kokosdi01
41,Bill Serena,25,CHC,NL,1.8,127,503,435,56,104,20,4,17,61,1,2,65,75,0.239,0.339,0.421,0.76,99,0.339,100,183,10,1,2,2,*5/H,ROY-5,serenbi01
42,Al Dark,28,NYG,NL,5.1,154,643,587,79,164,36,5,16,67,9,3,39,60,0.279,0.331,0.44,0.77,100,0.344,99,258,10,6,11,4,*6,,darkal01
43,Monte Irvin,31,NYG,NL,3.7,110,432,374,61,112,19,5,15,66,3,1,52,41,0.299,0.392,0.497,0.889,131,0.398,136,186,7,5,1,3,397/H5,,irvinmo01
44,Walker Cooper,35,2TM,NL,3.5,117,420,384,55,120,22,3,14,64,1,1,30,31,0.313,0.367,0.495,0.862,129,0.379,132,190,9,3,3,6,2H,AS,coopewa01
44,Walker Cooper,35,CIN,NL,-0.5,15,47,47,3,9,3,0,0,4,0,0,0,5,0.191,0.191,0.255,0.447,16,0.2,3,12,1,0,0,0,2/H,,coopewa01
44,Walker Cooper,35,BSN,NL,4,102,373,337,52,111,19,3,14,60,1,1,30,26,0.329,0.389,0.528,0.917,145,0.403,149,178,8,3,3,6,2H,,coopewa01
45,Jim Hegan,29,CLE,AL,0.7,131,469,415,53,91,16,5,14,58,1,0,42,52,0.219,0.291,0.383,0.674,74,0.304,63,159,11,0,12,8,*2/H,AS,heganji01
46,Irv Noren*,25,WSH,AL,3.4,138,615,542,80,160,27,10,14,98,5,2,67,77,0.295,0.375,0.459,0.834,117,0.383,118,249,10,2,4,1,*83,MVP-15,norenir01
47,Dave Philley#,30,CHW,AL,-0.4,156,682,619,69,150,21,5,14,80,6,3,52,57,0.242,0.302,0.36,0.662,71,0.309,67,223,17,1,10,1,*98/H,MVP-30,phillda01
48,Jackie Robinson,31,BRO,NL,7.4,144,613,518,99,170,39,4,14,81,12,5,80,24,0.328,0.423,0.5,0.923,139,0.411,145,259,11,5,10,14,*4/H,ASMVP-15,robinja02
49,Hank Bauer,27,NYY,AL,2.5,113,458,415,72,133,16,2,13,70,2,3,35,41,0.32,0.38,0.463,0.843,118,0.387,120,192,7,5,3,1,*97/H,,bauerha01
50,Mike Goliat,28,PHI,NL,1.5,145,540,483,49,113,13,6,13,64,3,2,53,75,0.234,0.314,0.366,0.68,80,0.306,78,177,20,3,1,4,*4/H,,goliami01
51,Sherm Lollar,25,SLB,AL,2.9,126,474,396,55,111,22,3,13,65,2,0,64,25,0.28,0.391,0.449,0.841,111,0.395,116,178,12,8,6,1,*2H,ASMVP-27,lollash01
52,Jerry Priddy,30,DET,AL,4.5,157,729,618,104,171,26,6,13,75,2,7,95,95,0.277,0.376,0.401,0.777,97,0.36,97,248,22,3,13,3,*4,MVP-17,priddje01
53,Dick Sisler*,29,PHI,NL,3.4,141,593,523,79,155,29,4,13,83,1,0,64,50,0.296,0.373,0.442,0.815,115,0.363,116,231,11,0,6,12,*7/H,ASMVP-33,sisledi01
54,Ken Wood,25,SLB,AL,-2.1,128,411,369,42,83,24,0,13,62,0,4,38,58,0.225,0.299,0.396,0.695,74,0.313,65,146,16,1,3,2,9H/7,MVP-29,woodke01
55,Johnny Groth,23,DET,AL,2.8,157,670,566,95,173,30,8,12,85,1,5,95,27,0.306,0.407,0.451,0.858,117,0.399,123,255,21,2,7,2,*8,,grothjo01
56,Cliff Mapes*,28,NYY,AL,-0.1,108,415,356,60,88,14,6,12,61,1,6,47,61,0.247,0.338,0.421,0.76,96,0.342,94,150,14,2,9,0,98H/7,,mapescl01
57,Sam Mele,28,WSH,AL,0.7,126,490,435,57,119,21,6,12,86,2,0,51,40,0.274,0.351,0.432,0.783,104,0.36,102,188,21,1,3,6,983H/7,,melesa01
58,Tommy Glaviano,26,STL,NL,4.1,115,510,410,92,117,29,2,11,44,6,5,90,74,0.285,0.421,0.446,0.867,125,0.393,132,183,6,6,4,0,*5/4H6,,glavito01
59,Granny Hamner,23,PHI,NL,3.1,157,685,637,78,172,27,5,11,82,2,4,39,35,0.27,0.314,0.38,0.694,83,0.312,82,242,14,2,7,5,*6,MVP-6,hamnegr01
60,Grady Hatton*,27,CIN,NL,2.1,130,514,438,67,114,17,1,11,54,6,3,70,39,0.26,0.366,0.379,0.745,96,0.346,102,166,3,3,3,1,*5H/46,,hattogr01
61,Pee Wee Reese,31,BRO,NL,4.1,141,633,531,97,138,21,5,11,52,17,4,91,62,0.26,0.369,0.38,0.75,95,0.346,97,202,7,1,10,8,*6/5,ASMVP-24,reesepe01
62,Eddie Yost,23,WSH,AL,4.2,155,731,573,114,169,26,2,11,58,6,6,141,63,0.295,0.44,0.405,0.845,122,0.406,135,232,13,8,9,0,*5,MVP-20,yosted01
63,Phil Cavarretta*,33,CHC,NL,1.5,82,301,256,49,70,11,1,10,31,1,3,40,31,0.273,0.376,0.441,0.817,115,0.366,120,113,5,2,2,1,3H/9,,cavarph01
64,Ferris Fain*,29,PHA,AL,3.4,151,658,522,83,147,25,4,10,83,8,5,133,26,0.282,0.43,0.402,0.832,116,0.4,127,210,18,3,0,5,*3,AS,fainfe01
65,Bill Howerton*,28,STL,NL,1.8,110,364,313,50,88,20,8,10,59,0,2,47,60,0.281,0.375,0.492,0.867,122,0.377,122,154,3,0,4,3,87H9,,howerbi01
66,Jim Russell#,31,BRO,NL,0.9,77,246,214,37,49,8,2,10,32,1,1,31,36,0.229,0.329,0.425,0.755,94,0.338,95,91,6,1,0,0,7H/8,,russeji01
67,Roy Sievers,23,SLB,AL,-1,113,408,370,46,88,20,4,10,57,1,3,34,42,0.238,0.305,0.395,0.7,75,0.319,69,146,11,2,2,1,85H7,,sievero01
68,Enos Slaughter*,34,STL,NL,2.2,148,632,556,82,161,26,7,10,101,3,5,66,33,0.29,0.367,0.415,0.782,102,0.35,104,231,12,2,8,7,*97/H,AS,slaugen01
69,Wayne Terwilliger,25,CHC,NL,0.4,133,537,480,63,116,22,3,10,32,13,11,43,63,0.242,0.311,0.363,0.673,77,0.303,76,174,8,5,9,1,*4/H358,,terwiwa01
70,Elmer Valo*,29,PHA,AL,2.3,129,542,446,62,125,16,5,10,46,12,7,82,22,0.28,0.4,0.406,0.806,108,0.383,116,181,7,7,7,3,*97H,,valoel01
71,Tommy Holmes*,33,BSN,NL,2.1,105,363,322,44,96,20,1,9,51,0,1,33,8,0.298,0.37,0.45,0.821,120,0.37,126,145,10,4,4,4,9H/7,,holmeto01
72,Bob Kennedy,29,CLE,AL,1.8,146,609,540,79,157,27,5,9,54,3,4,53,31,0.291,0.355,0.409,0.764,99,0.354,99,221,15,1,15,4,*98/H7,,kennebo01
73,Paul Lehner*,29,PHA,AL,1.1,114,468,427,48,132,17,5,9,52,1,1,32,33,0.309,0.357,0.436,0.793,104,0.365,104,186,12,0,8,2,79H/8,,lehnepa01
74,Del Rice,27,STL,NL,0,130,471,414,39,101,20,3,9,54,0,0,43,65,0.244,0.323,0.372,0.694,79,0.31,73,154,11,5,9,8,*2,,ricede01
75,Aaron Robinson*,35,DET,AL,1.2,107,358,283,37,64,7,0,9,37,0,1,75,35,0.226,0.388,0.346,0.735,87,0.353,91,98,4,0,0,6,2/H,,robinaa01
76,Mickey Vernon*,32,2TM,AL,1.9,118,489,417,55,117,17,3,9,75,8,1,62,39,0.281,0.379,0.4,0.779,104,0.37,108,167,3,4,6,2,*3/H,,vernomi01
76,Mickey Vernon*,32,CLE,AL,-0.3,28,105,90,8,17,0,0,0,10,2,0,12,10,0.189,0.284,0.189,0.473,25,0.251,25,17,0,0,3,0,3/H,,vernomi01
76,Mickey Vernon*,32,WSH,AL,2.2,90,384,327,47,100,17,3,9,65,6,1,50,29,0.306,0.404,0.459,0.863,125,0.402,130,150,3,4,3,2,3/H,,vernomi01
77,Al Zarilla*,31,BOS,AL,2.9,130,556,471,92,153,32,10,9,74,2,3,76,47,0.325,0.423,0.493,0.915,125,0.419,129,232,5,4,5,3,*9/H,,zarilal01
78,Ron Northey*,30,2TM,NL,0.5,80,217,191,22,52,14,0,9,29,0,0,25,15,0.272,0.356,0.487,0.843,120,0.376,123,93,5,0,1,1,9H,,northro01
78,Ron Northey*,30,CIN,NL,0.2,27,92,77,11,20,5,0,5,9,0,0,15,6,0.26,0.38,0.519,0.9,134,0.397,138,40,2,0,0,1,9/H,,northro01
78,Ron Northey*,30,CHC,NL,0.4,53,125,114,11,32,9,0,4,20,0,0,10,9,0.281,0.339,0.465,0.804,110,0.36,113,53,3,0,1,0,9H,,northro01
79,Johnny Hopp*,33,2TM,2LG,3.5,125,397,345,60,117,26,6,9,55,7,4,51,18,0.339,0.426,0.528,0.953,146,0.427,154,182,8,1,0,1,3H/798,,hoppjo01
79,Johnny Hopp*,33,PIT,NL,3.1,106,362,318,51,108,24,5,8,47,7,3,43,17,0.34,0.42,0.522,0.942,143,0.422,151,166,7,1,0,1,3H/978,,hoppjo01
79,Johnny Hopp*,33,NYY,AL,0.4,19,35,27,9,9,2,1,1,8,0,1,8,1,0.333,0.486,0.593,1.078,178,0.474,185,16,1,0,0,0,3/7H,,hoppjo01
80,Joe Adcock,22,CIN,NL,0.8,102,399,372,46,109,16,1,8,55,2,6,24,24,0.293,0.336,0.406,0.742,94,0.33,96,151,12,0,3,1,73/H9,,adcocjo01
81,Gus Bell*,21,PIT,NL,1.3,111,456,422,62,119,22,11,8,53,4,4,28,46,0.282,0.333,0.443,0.776,100,0.344,99,187,4,4,2,1,*9/H,,bellgu01
82,Tommy Brown,22,BRO,NL,0.9,48,98,86,15,25,2,1,8,20,0,0,11,9,0.291,0.378,0.616,0.994,153,0.428,156,53,4,1,0,1,H7,,brownto02
83,Ray Coleman*,28,SLB,AL,0.1,117,422,384,54,104,25,6,8,55,7,5,32,37,0.271,0.33,0.43,0.76,90,0.347,85,165,13,2,4,2,897H,,colemra01
84,Joe Collins*,27,NYY,AL,0.3,108,239,205,47,48,8,3,8,28,5,0,31,34,0.234,0.335,0.42,0.754,95,0.349,90,86,4,0,3,2,3H/9,,collijo01
85,Billy Cox,30,BRO,NL,0.8,119,494,451,62,116,17,2,8,44,6,4,35,24,0.257,0.311,0.357,0.668,73,0.304,71,161,15,0,8,3,*54/6H,,coxbi02
86,Bruce Edwards,26,BRO,NL,-0.2,50,156,142,16,26,4,1,8,16,1,1,13,22,0.183,0.256,0.394,0.651,66,0.279,54,56,6,1,0,3,2H/3,,edwarbr01
87,Owen Friend,23,SLB,AL,-1.7,119,427,372,48,88,15,2,8,50,2,1,40,68,0.237,0.312,0.352,0.664,67,0.309,59,131,14,1,14,2,45/6H,,frienow01
88,George Kell,27,DET,AL,4.9,157,724,641,114,218,56,6,8,101,3,3,66,18,0.34,0.403,0.484,0.886,123,0.409,128,310,23,1,16,3,*5,ASMVP-4,kellge01
89,Les Moss,25,SLB,AL,0.3,84,250,222,24,59,6,0,8,34,0,1,26,32,0.266,0.343,0.401,0.744,87,0.343,84,89,7,0,2,1,2H,,mossle01
90,Danny O'Connell,21,PIT,NL,1.7,79,345,315,39,92,16,1,8,32,7,5,24,33,0.292,0.342,0.425,0.768,98,0.343,99,134,8,0,5,1,65/H,ROY-3,o'conda02
91,Virgil Stallcup,28,CIN,NL,-0.6,136,507,483,44,121,23,2,8,54,4,2,17,39,0.251,0.276,0.356,0.632,65,0.28,56,172,14,0,7,7,*6,,stallvi01
92,Eddie Stanky,34,NYG,NL,8.2,152,692,527,115,158,25,5,8,51,9,6,144,50,0.3,0.46,0.412,0.872,130,0.408,145,217,8,12,8,0,*4/H,ASMVP-3,stanked01
93,Pete Suder,34,PHA,AL,0.1,77,274,248,34,61,10,0,8,35,2,2,23,31,0.246,0.31,0.383,0.693,78,0.32,74,95,8,0,3,0,456/H3,,suderpe01
94,Birdie Tebbetts,37,BOS,AL,0.8,79,299,268,33,83,10,1,8,45,1,1,29,26,0.31,0.377,0.444,0.821,101,0.376,99,119,13,0,2,4,2/H,,tebbebi01
95,Johnny Wyrostek*,30,CIN,NL,2.4,131,569,509,70,145,34,5,8,76,1,3,52,38,0.285,0.357,0.418,0.775,103,0.351,107,213,14,5,3,1,*978/3H,AS,wyrosjo01
96,Cass Michaels,24,2TM,AL,1.3,142,609,526,69,140,14,7,8,66,2,3,68,47,0.266,0.352,0.365,0.717,87,0.338,90,192,16,2,10,2,*4/H,AS,michaca01
96,Cass Michaels,24,CHW,AL,0.7,36,160,138,21,43,6,3,4,19,0,0,13,8,0.312,0.375,0.486,0.861,122,0.393,124,67,5,1,6,1,4/H,,michaca01
96,Cass Michaels,24,WSH,AL,0.7,106,449,388,48,97,8,4,4,47,2,3,55,39,0.25,0.345,0.322,0.667,75,0.32,78,125,11,1,4,1,*4/H,,michaca01
97,Ray Boone,26,CLE,AL,2.7,109,425,365,53,110,14,6,7,58,4,3,56,27,0.301,0.397,0.43,0.827,115,0.387,120,157,10,2,2,2,6/H,,boonera01
98,Gil Coan*,28,WSH,AL,1.3,104,403,366,58,111,17,4,7,50,10,5,28,46,0.303,0.359,0.429,0.788,105,0.363,105,157,1,4,5,1,7H/89,,coangi01
99,Dom DiMaggio,33,BOS,AL,3.9,141,681,588,131,193,30,11,7,70,15,4,82,68,0.328,0.414,0.452,0.866,113,0.406,117,266,14,4,7,2,*8/H,ASMVP-14,dimagdo01
100,Roy Hartsfield,24,BSN,NL,1,107,450,419,62,116,15,2,7,24,7,4,27,61,0.277,0.322,0.372,0.694,87,0.315,87,156,3,1,3,0,4H,,hartsro01
101,Gene Hermanski*,30,BRO,NL,2.1,94,332,289,36,86,17,3,7,34,2,3,36,26,0.298,0.381,0.45,0.831,115,0.374,121,130,9,3,4,0,7H/9,,hermage01
102,Phil Masi,34,CHW,AL,1.9,122,434,377,38,105,17,2,7,55,2,1,49,36,0.279,0.366,0.39,0.756,96,0.358,99,147,16,3,5,1,*2/H,,masiph01
103,Bobby Morgan,24,BRO,NL,1.2,67,236,199,38,45,10,3,7,21,0,1,32,43,0.226,0.342,0.412,0.754,95,0.338,95,82,7,3,2,0,56/H,,morgabo01
104,Don Mueller*,23,NYG,NL,0.6,132,539,525,60,153,15,6,7,84,1,1,10,26,0.291,0.309,0.383,0.691,80,0.313,79,201,9,3,1,0,*9H/7,,muelldo01
105,Phil Rizzuto,32,NYY,AL,6.8,155,735,617,125,200,36,7,7,66,12,8,92,39,0.324,0.418,0.439,0.857,122,0.403,131,271,6,7,19,0,*6,ASMVP-1,rizzuph01
106,Red Schoendienst#,27,STL,NL,2,153,693,642,81,177,43,9,7,63,3,3,33,32,0.276,0.313,0.403,0.717,84,0.322,83,259,15,2,16,1,*46/5,AS,schoere01
107,Clyde Vollmer,28,2TM,AL,0.4,63,206,183,39,52,10,0,7,38,2,0,23,38,0.284,0.364,0.454,0.818,101,0.376,98,83,5,0,0,0,H789,,vollmcl01
107,Clyde Vollmer,28,WSH,AL,0.1,6,16,14,4,4,0,0,0,1,1,0,2,3,0.286,0.375,0.286,0.661,75,0.341,80,4,0,0,0,0,/7H,,vollmcl01
107,Clyde Vollmer,28,BOS,AL,0.3,57,190,169,35,48,10,0,7,37,1,0,21,35,0.284,0.363,0.467,0.831,103,0.379,100,79,5,0,0,0,H789,,vollmcl01
108,Allie Clark,27,CLE,AL,-0.7,59,175,163,19,35,6,1,6,21,0,1,11,10,0.215,0.264,0.374,0.639,65,0.289,57,61,12,0,1,1,79H,,clarkal01
109,Jerry Coleman,25,NYY,AL,2.8,153,602,522,69,150,19,6,6,69,3,2,67,38,0.287,0.372,0.381,0.753,95,0.356,98,199,10,3,10,5,*4/6H,AS,colemje01
110,Nanny Fernandez,31,PIT,NL,0.4,65,219,198,23,51,11,0,6,27,2,0,19,17,0.258,0.326,0.404,0.73,88,0.333,89,80,9,1,1,1,5H,,fernana01
111,Tommy Henrich*,37,NYY,AL,0.9,73,178,151,20,41,6,8,6,34,0,1,27,6,0.272,0.382,0.536,0.918,136,0.412,137,81,7,0,0,0,H3,AS,henrito01
112,Billy Johnson,31,NYY,AL,0.4,108,372,327,44,85,16,2,6,40,1,0,42,30,0.26,0.346,0.376,0.722,87,0.34,87,123,12,1,2,3,5H/3,,johnsbi03
113,Don Kolloway,31,DET,AL,-0.3,125,502,467,55,135,20,4,6,62,1,3,29,28,0.289,0.331,0.388,0.718,81,0.331,76,181,15,0,5,5,*3/H4,,kollodo01
114,Bob Lemon*,29,CLE,AL,1.8,72,153,136,21,37,9,1,6,26,0,0,13,25,0.272,0.34,0.485,0.825,113,0.371,109,66,0,1,3,0,1H,ASMVP-5,lemonbo01
115,Danny Litwhiler,33,CIN,NL,0.4,54,133,112,15,29,4,0,6,12,0,2,20,21,0.259,0.371,0.455,0.827,116,0.363,120,51,5,0,1,0,H9/7,,litwhda01
116,Whitey Lockman*,23,NYG,NL,2.9,129,582,532,72,157,28,5,6,52,1,4,42,29,0.295,0.349,0.4,0.749,96,0.34,99,213,6,2,6,0,*7/8H,,lockmwh01
117,Hank Majeski,33,CHW,AL,2,122,467,414,47,128,18,2,6,46,1,4,42,34,0.309,0.377,0.406,0.783,103,0.364,106,168,15,3,8,2,*5H,,majesha01
118,Clyde McCullough,33,PIT,NL,0.9,103,319,279,28,71,16,4,6,34,3,1,31,35,0.254,0.34,0.405,0.745,93,0.333,90,113,5,5,4,5,2/H,,mcculcl01
119,Ray Mueller,38,2TM,NL,0.7,71,182,167,17,43,8,0,6,24,2,0,11,16,0.257,0.307,0.413,0.72,85,0.327,85,69,10,1,2,0,2/H,,muellra01
119,Ray Mueller,38,NYG,NL,-0.2,4,11,11,0,1,1,0,0,0,0,0,0,2,0.091,0.091,0.182,0.273,-31,0.115,-55,2,1,0,0,0,/2,,muellra01
119,Ray Mueller,38,PIT,NL,0.9,67,171,156,17,42,7,0,6,24,2,0,11,14,0.269,0.321,0.429,0.751,93,0.341,94,67,9,1,2,0,2/H,,muellra01
120,Pat Mullin*,32,DET,AL,-0.2,69,163,142,16,31,5,0,6,23,1,4,20,23,0.218,0.315,0.38,0.695,75,0.312,71,54,0,0,1,0,H79,,mullipa01
121,Joe Tipton,28,PHA,AL,0.5,64,205,184,15,49,5,1,6,20,0,0,19,16,0.266,0.335,0.402,0.737,90,0.342,88,74,3,0,2,1,2/H,,tiptojo01
122,Bob Usher,25,CIN,NL,0,106,353,321,51,83,17,0,6,35,3,3,27,38,0.259,0.316,0.368,0.684,79,0.306,76,118,9,0,5,3,8H9/7,,usherbo01
123,Rube Walker*,24,CHC,NL,-0.1,74,231,213,19,49,7,1,6,16,0,0,18,34,0.23,0.29,0.357,0.647,70,0.287,63,76,3,0,0,3,2H,,walkeru01
124,Preston Ward*,22,CHC,NL,0.5,80,319,285,31,72,11,2,6,33,3,1,27,42,0.253,0.317,0.368,0.686,80,0.313,80,105,6,0,7,0,3/H,,wardpr01
125,Gene Woodling*,27,NYY,AL,2.4,122,523,449,81,127,20,10,6,60,5,3,70,31,0.283,0.381,0.412,0.793,105,0.374,110,185,10,1,3,1,*7/H89,,woodlge01
126,Johnny Ostrowski,32,2TM,AL,-0.1,77,223,190,26,44,4,2,6,25,2,0,29,40,0.232,0.339,0.368,0.708,85,0.328,79,70,5,2,2,4,7H9/8,,ostrojo01
126,Johnny Ostrowski,32,CHW,AL,0.2,22,60,49,10,12,2,1,2,2,0,0,9,9,0.245,0.373,0.449,0.822,112,0.366,105,22,1,1,1,2,/H978,,ostrojo01
