Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
355,Duffy Dyer,34,DET,AL,-0.5,48,126,108,11,20,1,0,4,11,0,0,13,34,0.185,0.273,0.306,0.578,58,0.282,55,33,3,0,5,0,1,2D/H,,dyerdu01
356,Jerry Narron*,24,SEA,AL,0,48,123,107,7,21,3,0,4,18,0,0,13,18,0.196,0.279,0.336,0.615,68,0.274,52,36,2,0,1,2,2,2H/D,,narroje01
357,Del Unser*,35,PHI,NL,1,96,123,110,15,29,6,4,0,10,0,1,10,21,0.264,0.32,0.391,0.711,94,0.327,93,43,2,0,1,2,1,H387/9,,unserde01
358,Stan Papi,29,2TM,AL,-0.3,47,122,114,12,27,3,4,3,17,0,0,5,24,0.237,0.267,0.412,0.679,82,0.313,79,47,3,0,2,1,0,45/6H3,,papist01
358,Stan Papi,29,BOS,AL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/5,,papist01
358,Stan Papi,29,DET,AL,-0.3,46,122,114,12,27,3,4,3,17,0,0,5,24,0.237,0.267,0.412,0.679,82,0.313,79,47,3,0,2,1,0,45/6H3,,papist01
359,Bob Stinson#,34,SEA,AL,-0.7,48,122,107,6,23,2,0,1,8,0,0,9,19,0.215,0.277,0.262,0.539,49,0.261,43,28,2,1,2,2,0,2H,,stinsbo01
360,Ron Pruitt,28,2TM,AL,-0.1,56,121,106,9,32,3,0,2,15,0,0,12,13,0.302,0.37,0.387,0.757,109,0.344,104,41,5,0,2,1,1,H7/D25983,,pruitro01
360,Ron Pruitt,28,CLE,AL,-0.2,23,42,36,1,11,1,0,0,4,0,0,4,6,0.306,0.366,0.333,0.699,93,0.325,88,12,1,0,1,1,0,H/95D8,,pruitro01
360,Ron Pruitt,28,CHW,AL,0.1,33,79,70,8,21,2,0,2,11,0,0,8,7,0.3,0.372,0.414,0.786,117,0.355,112,29,4,0,1,0,1,H7/D2538,,pruitro01
361,Garry Hancock*,26,BOS,AL,0,46,120,115,9,33,6,0,4,19,0,3,3,11,0.287,0.3,0.443,0.743,97,0.322,91,51,1,0,0,2,0,8HD/79,,hancoga01
362,Ken Macha,29,MON,NL,-0.1,49,120,107,10,31,5,1,1,8,0,2,11,17,0.29,0.361,0.383,0.745,109,0.355,122,41,5,1,1,0,1,5H/329,,machake01
363,Mookie Wilson#,24,NYM,NL,-0.1,27,119,105,16,26,5,3,0,4,7,7,12,19,0.248,0.325,0.352,0.677,92,0.305,93,37,0,0,2,0,0,8/7H,,wilsomo01
364,Sam Mejías,28,CIN,NL,1.3,71,117,108,16,30,5,1,1,10,4,2,6,13,0.278,0.322,0.37,0.692,93,0.349,110,40,1,1,2,0,0,89/H7,,mejiasa01
365,Bombo Rivera,27,MIN,AL,-0.4,44,117,113,13,25,7,0,3,10,0,0,4,20,0.221,0.248,0.363,0.611,61,0.288,57,41,4,0,0,0,0,97H/D,,riverbo01
366,Marc Hill,28,2TM,2LG,0,46,117,111,9,23,4,1,2,9,0,0,4,17,0.207,0.235,0.315,0.55,51,0.264,48,35,4,0,2,0,0,2/H,,hillma01
366,Marc Hill,28,SFG,NL,-0.3,17,43,41,1,7,2,0,0,0,0,0,1,7,0.171,0.19,0.22,0.41,16,0.188,-7,9,1,0,1,0,0,2/H,,hillma01
366,Marc Hill,28,SEA,AL,0.3,29,74,70,8,16,2,1,2,9,0,0,3,10,0.229,0.26,0.371,0.632,71,0.307,76,26,3,0,1,0,0,2/H,,hillma01
367,Danny Ainge,21,TOR,AL,-0.3,38,115,111,11,27,6,1,0,4,3,0,2,29,0.243,0.263,0.315,0.578,55,0.285,51,35,3,1,1,0,0,8/7H5D49,,aingeda01
368,Ramón Avilés,28,PHI,NL,-0.1,51,115,101,12,28,6,0,2,9,0,0,10,9,0.277,0.336,0.396,0.732,100,0.342,101,40,3,0,2,2,2,64H,,avilera01
369,Ed Romero,22,MIL,AL,0,42,115,104,20,27,7,0,1,10,2,0,9,11,0.26,0.319,0.356,0.674,88,0.338,99,37,3,0,2,0,0,64/H5D,,romered01
370,Harry Spilman*,25,CIN,NL,0.1,65,114,101,14,27,4,0,4,19,0,0,9,19,0.267,0.327,0.426,0.753,109,0.336,101,43,2,1,1,2,1,H3/725,,spilmha01
371,Steve Carlton*,35,PHI,NL,-0.1,38,111,101,7,19,1,0,0,6,0,0,1,21,0.188,0.19,0.198,0.388,7,0.184,-22,20,4,0,6,3,0,1,ASCYA-1MVP-5,carltst01
372,Broderick Perkins*,25,SDP,NL,1.1,43,111,100,18,37,9,0,2,14,2,1,11,10,0.37,0.432,0.52,0.952,173,0.444,188,52,0,0,0,0,1,3H9,,perkibr01
373,Wally Backman#,20,NYM,NL,0,27,110,93,12,30,1,1,0,9,2,3,11,14,0.323,0.396,0.355,0.751,115,0.337,113,33,3,1,4,1,1,6-Apr,,backmwa01
374,José Cardenal,36,2TM,2LG,-0.4,51,110,95,12,25,3,0,0,9,0,1,11,9,0.263,0.327,0.295,0.622,75,0.293,74,28,3,0,0,4,0,H9/73,,cardejo02
374,José Cardenal,36,NYM,NL,-0.2,26,49,42,4,7,1,0,0,4,0,1,6,4,0.167,0.265,0.19,0.456,31,0.234,37,8,3,0,0,1,0,H/397,,cardejo02
374,José Cardenal,36,KCR,AL,-0.2,25,61,53,8,18,2,0,0,5,0,0,5,5,0.34,0.377,0.377,0.754,108,0.341,101,20,0,0,0,3,0,9/H7,,cardejo02
375,Brian Downing,29,CAL,AL,0,30,108,93,5,27,6,0,2,25,0,2,12,12,0.29,0.364,0.419,0.784,118,0.341,111,39,5,0,1,2,1,2D/H,,downibr01
376,Mike Davis*,21,OAK,AL,-0.2,51,107,95,11,20,2,1,1,8,2,1,7,14,0.211,0.262,0.284,0.546,56,0.27,58,27,2,0,4,1,0,H9/3D7,,davismi02
377,Mick Kelleher,32,CHC,NL,-1,105,107,96,12,14,1,1,0,4,1,3,9,17,0.146,0.217,0.177,0.394,9,0.192,-4,17,5,0,1,1,1,45H6,,kellemi02
378,Steve Rogers,30,MON,NL,0.3,38,106,81,7,13,0,0,0,7,0,0,10,28,0.16,0.253,0.16,0.413,18,0.228,9,13,0,0,15,0,0,1/H,CYA-5,rogerst01
379,Carlos Lezcano,24,CHC,NL,-0.3,42,104,88,15,18,4,1,3,12,1,2,11,29,0.205,0.294,0.375,0.669,81,0.325,92,33,3,1,2,2,0,8H/79,,lezcaca01
380,Glenn Borgmann,30,CHW,AL,0.6,32,103,87,10,19,2,0,2,14,0,0,14,9,0.218,0.32,0.31,0.631,75,0.305,77,27,1,0,0,2,0,2/H,,borgmgl01
381,Vic Harris#,30,MIL,AL,0,34,103,89,8,19,4,1,1,7,4,1,12,13,0.213,0.304,0.315,0.619,73,0.311,80,28,1,0,1,1,0,9/87H54,,harrivi01
382,Mike Lum*,34,ATL,NL,0,93,103,83,7,17,3,0,0,5,0,0,18,19,0.205,0.343,0.241,0.584,64,0.276,52,20,3,0,1,1,3,H73,,lummi01
383,Joe Niekro,35,HOU,NL,0.9,37,102,80,7,22,5,0,0,10,0,0,4,15,0.275,0.31,0.338,0.647,88,0.296,77,27,2,0,18,0,0,1,CYA-4MVP-19,niekrjo01
384,Dan Whitmer,24,CAL,AL,-0.1,48,102,87,8,21,3,0,0,7,1,0,4,21,0.241,0.269,0.276,0.545,52,0.272,49,24,3,0,9,2,0,2/H,,whitmda01
385,Dave Edler,23,SEA,AL,-0.2,28,99,89,11,20,1,0,3,9,2,3,8,16,0.225,0.289,0.337,0.626,71,0.272,58,30,3,0,2,0,1,5,,edlerda01
386,Ken Henderson#,34,CHC,NL,-0.3,44,99,82,7,16,3,0,2,9,0,0,17,19,0.195,0.333,0.305,0.638,75,0.303,70,25,3,0,0,0,3,H7/9,,hendeke01
387,Dan Norman,25,NYM,NL,0,69,98,92,5,17,1,1,2,9,5,0,6,14,0.185,0.235,0.283,0.517,46,0.291,61,26,1,0,0,0,0,H9/7,,normada01
388,Danny Heep*,22,HOU,NL,0.6,33,97,87,6,24,8,0,0,6,0,0,8,9,0.276,0.34,0.368,0.708,105,0.324,102,32,0,1,0,1,0,3H,,heepda01
389,Phil Niekro,41,ATL,NL,-0.5,40,96,90,2,12,5,0,0,5,0,0,1,19,0.133,0.143,0.189,0.332,-9,0.15,-46,17,2,0,5,0,0,1,GG,niekrph01
390,Biff Pocoroba#,26,ATL,NL,0,70,96,83,7,22,4,0,2,8,1,0,11,11,0.265,0.347,0.386,0.733,103,0.349,106,32,2,0,1,1,0,H2,,pocorbi01
391,Jim Bibby,35,PIT,NL,0.2,35,95,77,6,12,3,0,1,7,0,0,6,32,0.156,0.224,0.234,0.457,27,0.216,0,18,1,1,10,1,0,1,ASCYA-3MVP-14,bibbyji01
392,Fred Stanley,32,NYY,AL,0,49,95,86,13,18,3,0,0,5,0,0,5,5,0.209,0.266,0.244,0.51,43,0.251,39,21,0,2,1,1,0,645/H,,stanlfr01
393,Rick Reuschel,31,CHC,NL,-0.2,44,93,82,4,13,3,1,0,5,0,0,1,23,0.159,0.169,0.22,0.388,5,0.175,-39,18,0,0,10,0,0,1/H,,reuscri01
394,Leo Sutherland*,22,CHW,AL,-0.4,34,92,89,9,23,3,0,0,5,4,1,1,11,0.258,0.264,0.292,0.556,53,0.272,49,26,2,0,1,1,1,7H/8D,,suthele01
395,Dave Bergman*,27,HOU,NL,0.5,90,91,78,12,20,6,1,0,3,1,0,10,10,0.256,0.341,0.359,0.7,103,0.328,102,28,1,0,3,0,2,3H/79,,bergmda01
396,Sal Butera,27,MIN,AL,-0.2,34,91,85,4,23,1,0,0,2,0,0,3,6,0.271,0.3,0.282,0.582,57,0.291,59,24,4,1,1,1,0,2/DH,,butersa01
397,Steve Ontiveros#,28,CHC,NL,-0.5,31,91,77,7,16,3,0,1,3,0,0,14,17,0.208,0.33,0.286,0.615,69,0.302,69,22,1,0,0,0,1,5/H,,ontivst01
398,Mickey Hatcher,25,LAD,NL,-0.6,57,90,84,4,19,2,0,1,5,0,2,2,12,0.226,0.244,0.286,0.53,49,0.224,25,24,6,0,4,0,1,H95/7,,hatchmi01
399,Lenn Sakata,26,BAL,AL,0,43,90,83,12,16,3,2,1,9,2,1,6,10,0.193,0.244,0.313,0.558,53,0.262,46,26,3,0,0,1,0,4H/6D,,sakatle01
400,Doyle Alexander,29,ATL,NL,-0.1,35,89,83,7,15,3,0,0,3,0,0,3,24,0.181,0.209,0.217,0.426,18,0.198,-7,18,1,0,3,0,0,1,,alexado01
401,Hubie Brooks,23,NYM,NL,0.4,24,89,81,8,25,2,1,1,10,1,1,5,9,0.309,0.364,0.395,0.759,115,0.345,114,32,1,2,1,0,0,5/H,,brookhu01
402,Bob Forsch,30,STL,NL,1.2,32,89,78,11,23,5,0,3,10,1,0,2,18,0.295,0.313,0.474,0.787,114,0.355,110,37,1,0,9,0,0,1/H,SS,forscbo01
403,Reggie Walton,27,SEA,AL,0.3,31,88,83,8,23,6,0,2,9,2,2,3,10,0.277,0.307,0.422,0.729,97,0.339,103,35,1,1,0,1,0,9D/7H,,waltore01
404,Steve Braun*,32,2TM,AL,-0.7,51,88,78,4,16,2,0,1,10,0,0,10,7,0.205,0.295,0.269,0.565,54,0.275,51,21,2,0,0,0,1,HD/795,,braunst01
404,Steve Braun*,32,KCR,AL,-0.8,14,25,23,0,1,0,0,0,1,0,0,2,2,0.043,0.12,0.043,0.163,-53,0.094,-73,1,0,0,0,0,0,H/79D,,braunst01
404,Steve Braun*,32,TOR,AL,0.1,37,63,55,4,15,2,0,1,9,0,0,8,5,0.273,0.365,0.364,0.729,97,0.348,102,20,2,0,0,0,1,HD/5,,braunst01
405,Gary Allenson,25,BOS,AL,0.9,36,85,70,9,25,6,0,0,10,2,2,13,11,0.357,0.452,0.443,0.895,142,0.426,161,31,1,0,1,1,0,2/D5H,,allenga01
406,John Candelaria*,26,PIT,NL,0.3,35,85,77,5,15,3,0,0,7,0,0,4,14,0.195,0.232,0.234,0.465,29,0.25,33,18,2,0,3,1,0,1,,candejo01
407,Tito Landrum,25,STL,NL,0.2,35,85,77,6,19,2,2,0,7,3,2,6,17,0.247,0.306,0.325,0.631,74,0.32,88,25,3,1,0,1,0,7/H89,,landrti01
408,Ken Forsch,33,HOU,NL,0.3,32,84,77,3,18,3,0,0,8,1,0,1,33,0.234,0.244,0.273,0.516,50,0.238,31,21,0,0,6,0,0,1,,forscke01
409,Héctor Cruz,27,CIN,NL,0.2,52,83,75,5,16,4,1,1,5,0,0,8,16,0.213,0.289,0.333,0.622,73,0.293,69,25,1,0,0,0,1,H79/8,,cruzhe01
410,Nolan Ryan,33,HOU,NL,-0.2,35,83,70,5,6,0,0,1,6,0,1,7,29,0.086,0.167,0.129,0.295,-13,0.143,-35,9,0,0,5,1,0,1,,ryanno01
411,Dick Ruthven,29,PHI,NL,0.4,33,82,68,7,16,5,1,0,8,1,1,2,22,0.235,0.257,0.338,0.595,62,0.264,37,23,1,0,12,0,0,1,,ruthvdi01
412,Dave Skaggs,29,2TM,AL,-0.5,26,82,71,7,14,0,0,1,9,0,0,9,14,0.197,0.284,0.239,0.523,47,0.252,41,17,1,0,1,1,0,2,,skaggda01
412,Dave Skaggs,29,BAL,AL,0,2,5,5,0,1,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,11,0.183,-9,1,0,0,0,0,0,/2,,skaggda01
412,Dave Skaggs,29,CAL,AL,-0.5,24,77,66,7,13,0,0,1,9,0,0,9,13,0.197,0.289,0.242,0.532,50,0.257,44,16,1,0,1,1,0,2,,skaggda01
413,Brian Doyle*,26,NYY,AL,-0.7,34,81,75,8,13,1,0,1,5,1,1,6,7,0.173,0.235,0.227,0.461,29,0.216,17,17,1,0,0,0,0,46/5H,,doylebr01
414,Burt Hooton,30,LAD,NL,-0.4,34,81,64,4,4,0,0,1,6,0,0,3,15,0.063,0.104,0.109,0.214,-40,0.119,-90,7,0,0,14,0,0,1/H,,hootobu01
415,Pete Vuckovich,27,STL,NL,0,32,81,71,4,13,6,0,0,7,1,0,1,13,0.183,0.194,0.268,0.462,26,0.211,-9,19,1,0,9,0,0,1,,vuckope01
416,Mark Wagner,26,DET,AL,-0.6,45,81,72,5,17,1,0,0,3,0,1,7,11,0.236,0.304,0.25,0.554,53,0.259,44,18,0,0,2,0,0,6/54H,,wagnema01
417,Orlando González*,28,OAK,AL,0.2,25,80,70,10,17,0,0,0,1,0,2,9,8,0.243,0.329,0.243,0.572,66,0.289,82,17,0,0,1,0,0,3/DH7,,gonzaor01
418,Rusty Torres#,31,KCR,AL,-0.3,51,80,72,10,12,0,0,0,3,1,3,8,7,0.167,0.25,0.167,0.417,17,0.205,16,12,1,0,0,0,0,9H7/8D,,torreru01
419,Vida Blue#,30,SFG,NL,-0.4,31,79,68,3,5,1,0,0,1,0,0,3,34,0.074,0.111,0.088,0.199,-43,0.124,-66,6,0,0,7,1,0,1,AS,bluevi01
420,Bob Knepper*,26,SFG,NL,0.2,35,79,66,3,10,3,0,0,7,1,0,2,21,0.152,0.171,0.197,0.368,4,0.211,-2,13,0,0,9,2,0,1,,kneppbo01
421,Vance Law,23,PIT,NL,0.1,25,78,74,11,17,2,2,0,3,2,0,3,7,0.23,0.26,0.311,0.571,57,0.302,68,23,2,0,1,0,0,4/6H5,,lawva01
